resource.data_updated_at,permalink,resource.id,resource.name,resource.columns_name,column_count,resource.description,resource.download_count,resource.page_views.page_views_last_week
2025-03-20T15:05:13.000Z,https://data.cdc.gov/d/r8kw-7aab,r8kw-7aab,Provisional COVID-19 Death Counts by Week Ending Date and State,"['End Date', 'Year', 'Pneumonia and COVID-19 Deaths', 'Pneumonia Deaths', 'Percent of Expected Deaths', 'State', 'Start Date', 'Total Deaths', 'Pneumonia, Influenza, or COVID-19 Deaths', 'Data as of', 'Group', 'Week Ending Date', 'Month', 'Influenza Deaths', 'Footnote', 'COVID-19 Deaths', 'MMWR Week']",17,"Effective September 27, 2023, this dataset will be updated weekly on Thursdays.

Deaths involving COVID-19, pneumonia, and influenza reported to NCHS by week ending date and by state",631059,613
2025-01-30T23:14:15.000Z,https://data.cdc.gov/d/hn4x-zwk7,hn4x-zwk7,"Nutrition, Physical Activity, and Obesity - Behavioral Risk Factor Surveillance System","['StratificationCategoryId1', 'Sex', 'TopicID', 'YearStart', 'ClassID', 'YearEnd', 'QuestionID', 'LocationAbbr', 'LocationDesc', 'Datasource', 'GeoLocation (state)', 'Class', 'DataValueTypeID', 'Topic', 'LocationID', 'Question', 'Data_Value_Unit', 'Data_Value', 'Stratification1', 'GeoLocation', 'Race/Ethnicity', 'Data_Value_Alt', 'Total', 'Data_Value_Footnote_Symbol', 'Data_Value_Footnote', 'Low_Confidence_Limit', 'High_Confidence_Limit ', 'StratificationID1', 'Income', 'StratificationCategory1', 'Age(years)', 'Sample_Size', 'Education', 'GeoLocation (address)', 'Data_Value_Type', 'GeoLocation (city)', 'GeoLocation (zip)']",37,"This dataset includes data on adult's diet, physical activity, and weight status from Behavioral Risk Factor Surveillance System. This data is used for DNPAO's Data, Trends, and Maps database, which provides national and state specific data on obesity, nutrition, physical activity, and breastfeeding.",119276,458
2025-03-13T13:53:37.000Z,https://data.cdc.gov/d/xkb8-kh2a,xkb8-kh2a,VSRR Provisional Drug Overdose Death Counts,"['Predicted Value', 'Period', 'State Name', 'Percent Pending Investigation', 'Percent Complete', 'Year', 'Footnote Symbol', 'Month', 'State', 'Indicator', 'Footnote', 'Data Value']",12,"This data presents provisional counts for drug overdose deaths based on a current flow of mortality data in the National Vital Statistics System. Counts for the most recent final annual data are provided for comparison. National provisional counts include deaths occurring within the 50 states and the District of Columbia as of the date specified and may not include all deaths that occurred during a given time period. Provisional counts are often incomplete and causes of death may be pending investigation resulting in an underestimate relative to final counts. To address this, methods were developed to adjust provisional counts for reporting delays by generating a set of predicted provisional counts.

Several data quality metrics, including the percent completeness in overall death reporting, percentage of deaths with cause of death pending further investigation, and the percentage of drug overdose deaths with specific drugs or drug classes reported are included to aid in interpretation of provisional data as these measures are related to the accuracy of provisional counts. Reporting of the specific drugs and drug classes involved in drug overdose deaths varies by jurisdiction, and comparisons of death rates involving specific drugs across selected jurisdictions should not be made. Provisional data presented will be updated on a monthly basis as additional records are received.

For more information please visit: https://www.cdc.gov/nchs/nvss/vsrr/drug-overdose-data.htm",117202,230
2025-03-21T01:53:57.000Z,https://data.cdc.gov/d/kh8y-3es6,kh8y-3es6,HHS Provider Relief Fund,"['State', 'City', 'Payment', 'Provider Name']",4,"HHS is providing support to healthcare providers fighting the coronavirus disease 2019 (COVID-19) pandemic through the bipartisan Coronavirus Aid, Relief, & Economic Security (CARES) Act; the Paycheck Protection Program and Health Care Enhancement Act (PPPHCEA); and the Coronavirus Response and Relief Supplemental Appropriations (CRRSA) Act, which provide a total of $178 billion for relief funds to hospitals and other healthcare providers on the front lines of the COVID-19 response. This funding supports healthcare-related expenses or lost revenue attributable to COVID-19 and ensures uninsured Americans can get treatment for COVID-19. HHS is distributing this Provider Relief Fund (PRF) money and these payments do not need to be repaid.

The Department allocated $50 billion in PRF payments for general distribution to Medicare facilities and providers impacted by COVID-19, based on eligible providers' net reimbursement. HHS has made other PRF distributions to a wide array of health care providers and more information on those distributions can be found here: https://www.hhs.gov/coronavirus/cares-act-provider-relief-fund/data/index.html",101478,360
2025-02-14T17:19:02.000Z,https://data.cdc.gov/d/hfr9-rurv,hfr9-rurv,Alzheimer's Disease and Healthy Aging Data,"['High_Confidence_Limit', 'YearEnd', 'DataValueTypeID', 'StratificationID1', 'States', 'Counties', 'ClassID', 'StratificationCategory1', 'StratificationCategory2', 'StratificationID2', 'RowId', 'YearStart', 'LocationAbbr', 'LocationDesc', 'Datasource', 'Class', 'Topic', 'Question', 'Data_Value_Unit', 'Data_Value_Type', 'Data_Value', 'Data_Value_Alt', 'Data_Value_Footnote_Symbol', 'Data_Value_Footnote', 'Low_Confidence_Limit', 'Stratification1', 'Stratification2', 'Geolocation', 'TopicID', 'QuestionID', 'LocationID', 'StratificationCategoryID1', 'StratificationCategoryID2']",33,2015-2022. This data set contains data from BRFSS.,85562,379
2025-03-26T14:33:47.000Z,https://data.cdc.gov/d/2ew6-ywp6,2ew6-ywp6,NWSS Public SARS-CoV-2 Wastewater Metric Data,"['date_end', 'percentile', 'reporting_jurisdiction', 'key_plot_id', 'sample_location', 'wwtp_id', 'county_fips', 'detect_prop_15d', 'population_served', 'sample_location_specify', 'county_names', 'ptc_15d', 'sampling_prior', 'first_sample_date', 'wwtp_jurisdiction', 'date_start']",16,This dataset provides a complete time history of metrics calculated using SARS-CoV-2 concentrations in wastewater.,72530,226
2025-01-14T14:13:33.000Z,https://data.cdc.gov/d/489q-934x,489q-934x,NCHS - VSRR Quarterly provisional estimates for selected indicators of mortality,"['Rate Nebraska', 'Rate Utah', 'Rate Vermont', 'Rate Washington', 'Rate Wisconsin', 'Rate West Virginia', 'Rate Wyoming', 'Year and Quarter', 'Rate Age 75-84', 'Rate Sex Female', 'Rate Age 1-4', 'Rate Alabama', 'Rate Arkansas', 'Rate Connecticut', 'Rate Louisiana', 'Rate Michigan', 'Rate Minnesota', 'Rate North Carolina', 'Rate New York', 'Rate Ohio', 'Rate Type', 'Rate Age 35-44', 'Rate 65-74', 'Rate Age 85 plus', 'Rate California', 'Rate Delaware', 'Rate Georgia', 'Rate Illinois', 'Rate Florida', 'Rate Iowa', 'Rate Idaho', 'Rate Kansas', 'Rate Indiana', 'Rate Massachusetts', 'Rate Maryland', 'Rate Maine', 'Rate Missouri', 'Rate North Dakota', 'Rate New Jersey', 'Rate New Mexico', 'Rate Nevada', 'Rate Oklahoma', 'Rate Oregon', 'Rate South Carolina', 'Rate South Dakota', 'Rate Texas', 'Rate Kentucky', 'Rate Montana', 'Rate Tennessee', 'Rate New Hampshire', 'Rate Pennsylvania', 'Rate Rhode Island', 'Cause of Death', 'Rate Virginia', 'Rate District of Columbia', 'Rate Mississippi', 'Rate Age 45-54', 'Rate Hawaii', 'Rate Alaska', 'Rate Colorado', 'Rate Arizona', 'Rate Age 55-64', 'Rate Age 25-34', 'Unit', 'Time Period', 'Rate Age 5-14', 'Rate Sex Male', 'Rate Age 15-24', 'Overall Rate']",69,"Provisional estimates of death rates. Estimates are presented for each of the 15 leading causes of death plus estimates for deaths attributed to drug overdose, falls (for persons aged 65 and over), human immunodeficiency virus (HIV) disease, homicide, and firearms-related deaths.",50076,61
2025-01-17T17:01:44.000Z,https://data.cdc.gov/d/7dk4-g6vg,7dk4-g6vg,Weekly United States COVID-19 Hospitalization Metrics by Jurisdiction – ARCHIVED,"['week_ending_date', 'avg_percent_staff_icu_beds_covid', 'abs_chg_avg_percent_inpatient_beds_occupied_covid_confirmed', 'sum_adm_all_covid_confirmed', 'total_adm_all_covid_confirmed_past_7days_per_100k', 'total_adm_all_covid_confirmed_past_7days', 'pct_chg_avg_adm_all_covid_confirmed_per_100k', 'avg_adm_all_covid_confirmed', 'state', 'avg_total_patients_hospitalized_covid_confirmed', 'abs_chg_avg_percent_staff_icu_beds_covid', 'avg_percent_inpatient_beds_occupied_covid_confirmed']",12,"<b>Note:</b> After May 3, 2024, this dataset will no longer be updated because hospitals are no longer required to report data on COVID-19 hospital admissions, hospital capacity, or occupancy data to HHS through CDC’s National Healthcare Safety Network (NHSN). The related CDC COVID Data Tracker site was revised or retired on May 10, 2023.

This dataset represents weekly COVID-19 hospitalization data and metrics aggregated to national, state/territory, and regional levels. COVID-19 hospitalization data are reported to CDC’s National Healthcare Safety Network, which monitors national and local trends in healthcare system stress, capacity, and community disease levels for approximately 6,000 hospitals in the United States. Data reported by hospitals to NHSN and included in this dataset represent aggregated counts and include metrics capturing information specific to COVID-19 hospital admissions, and inpatient and ICU bed capacity occupancy.

<b>Reporting information:</b><ul><li>As of December 15, 2022, COVID-19 hospital data are required to be reported to NHSN, which monitors national and local trends in healthcare system stress, capacity, and community disease levels for approximately 6,000 hospitals in the United States. Data reported by hospitals to NHSN represent aggregated counts and include metrics capturing information specific to hospital capacity, occupancy, hospitalizations, and admissions. Prior to December 15, 2022, hospitals reported data directly to the U.S. Department of Health and Human Services (HHS) or via a state submission for collection in the HHS Unified Hospital Data Surveillance System (UHDSS).</li><li>While CDC reviews these data for errors and corrects those found, some reporting errors might still exist within the data. To minimize errors and inconsistencies in data reported, CDC removes outliers before calculating the metrics. CDC and partners work with reporters to correct these errors and update the data in subsequent weeks.</li><li>Many hospital subtypes, including acute care and critical access hospitals, as well as Veterans Administration, Defense Health Agency, and Indian Health Service hospitals, are included in the metric calculations provided in this report. Psychiatric, rehabilitation, and religious non-medical hospital types are excluded from calculations.</li><li>Data are aggregated and displayed for hospitals with the same Centers for Medicare and Medicaid Services (CMS) Certification Number (CCN), which are assigned by CMS to counties based on the CMS Provider of Services files.</li><li>Full details on COVID-19 hospital data reporting guidance can be found here: https://www.hhs.gov/sites/default/files/covid-19-faqs-hospitals-hospital-laboratory-acute-care-facility-data-reporting.pdf</li></ul>

<b>Metric details:</b><ul><li><b>Time Period:</b> timeseries data will update weekly on Mondays as soon as they are reviewed and verified, usually before 8 pm ET. Updates will occur the following day when reporting coincides with a federal holiday. Note: Weekly updates might be delayed due to delays in reporting. All data are provisional. Because these provisional counts are subject to change, including updates to data reported previously, adjustments can occur. Data may be updated since original publication due to delays in reporting (to account for data received after a given Thursday publication) or data quality corrections.</li><li><b>New COVID-19 Hospital Admissions (count):</b> Number of new admissions of patients with laboratory-confirmed COVID-19 in the previous week (including both adult and pediatric admissions) in the entire jurisdiction.</li><li><b>New COVID-19 Hospital Admissions (7-Day Average):</b> 7-day average of new admissions of patients with laboratory-confirmed COVID-19 in the previous week (including both adult and pediatric admissions) in the entire jurisdiction.</li><li><b>Cumulative COVID-19 Hospital Admissions:</b> Cumulative total number of admissions of patients with labo",47536,28
2025-03-24T20:05:17.000Z,https://data.cdc.gov/d/735e-byxc,735e-byxc,"Nutrition, Physical Activity, and Obesity - Women, Infant, and Child","['YearEnd', 'LocationAbbr', 'LocationDesc', 'Datasource', 'Class', 'Topic', 'Question', 'Data_Value_Unit', 'Data_Value_Type', 'Data_Value', 'Data_Value_Alt', 'Data_Value_Footnote', 'High_Confidence_Limit ', 'Sample_Size', 'Race/Ethnicity', 'GeoLocation', 'ClassID', 'GeoLocation (address)', 'Stratification1', 'StratificationCategoryId1', 'StratificationID1', 'StratificationCategory1', 'LocationID', 'QuestionID', 'Sex', 'Data_Value_Footnote_Symbol', 'GeoLocation (zip)', 'DataValueTypeID', 'GeoLocation (state)', 'GeoLocation (city)', 'TopicID', 'Age(months)', 'Total', 'Low_Confidence_Limit', 'YearStart']",35,"This dataset includes data on weight status for children aged 3 months to 4 years old from Women, Infant, and Children Participant and Program Characteristics (WIC-PC). This data is used for DNPAO's Data, Trends, and Maps database, which provides national and state specific data on obesity, nutrition, physical activity, and breastfeeding. For more information about WIC-PC visit https://www.fns.usda.gov/wic/national-survey-wic-participants.",42985,51
2025-03-26T01:12:19.000Z,https://data.cdc.gov/d/g653-rqe2,g653-rqe2,NWSS Public SARS-CoV-2 Concentration in Wastewater Data,"['normalization', 'pcr_conc_lin', 'key_plot_id', 'date']",4,This dataset provides a complete time history of SARS-CoV-2 concentrations in wastewater for each sampling location.,31488,1332
