dataid,dataname,datacode,datadescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,April - September 2024,October - March 2025,April - September 2023,October - March 2024
fbfJHSPpUQD,ANC 1st visit,DE_359596,,O6uvpzGd5pu,Bo,OU_264,,17981,7921,17526,16146
fbfJHSPpUQD,ANC 1st visit,DE_359596,,fdc6uOvgoji,Bombali,OU_193190,,9952,2789,9766,7079
fbfJHSPpUQD,ANC 1st visit,DE_359596,,lc3eMKXaEfw,Bonthe,OU_197385,,4364,658,4353,2339
fbfJHSPpUQD,ANC 1st visit,DE_359596,,jUb8gELQApl,Kailahun,OU_204856,,8014,3549,7967,7131
fbfJHSPpUQD,ANC 1st visit,DE_359596,,PMa2VCrupOd,Kambia,OU_211212,,7191,3764,7242,7129
fbfJHSPpUQD,ANC 1st visit,DE_359596,,kJq2mPyFEHo,Kenema,OU_222616,,12886,5954,12590,11461
fbfJHSPpUQD,ANC 1st visit,DE_359596,,qhqAxPSTUXp,Koinadugu,OU_226213,,5347,1264,5368,3737
fbfJHSPpUQD,ANC 1st visit,DE_359596,,Vth0fbpFcsO,Kono,OU_233310,,5181,1152,5199,4073
fbfJHSPpUQD,ANC 1st visit,DE_359596,,jmIPBj66vD6,Moyamba,OU_246990,,8500,3643,8219,7669
fbfJHSPpUQD,ANC 1st visit,DE_359596,,TEQlaapDQoK,Port Loko,OU_254945,,14514,3788,14345,9259
fbfJHSPpUQD,ANC 1st visit,DE_359596,,bL4ooGhyHRQ,Pujehun,OU_260377,,7381,21,7080,3281
fbfJHSPpUQD,ANC 1st visit,DE_359596,,eIQbndfxQMb,Tonkolili,OU_268149,,12059,6226,12003,10446
fbfJHSPpUQD,ANC 1st visit,DE_359596,,at6UHUQatSo,Western Area,OU_278310,,28811,12142,26860,21308
cYeuwXTCPkU,ANC 2nd visit,DE_359597,,O6uvpzGd5pu,Bo,OU_264,,18152,6909,18047,15033
cYeuwXTCPkU,ANC 2nd visit,DE_359597,,fdc6uOvgoji,Bombali,OU_193190,,8246,2624,8251,6400
cYeuwXTCPkU,ANC 2nd visit,DE_359597,,lc3eMKXaEfw,Bonthe,OU_197385,,4212,652,4203,2215
cYeuwXTCPkU,ANC 2nd visit,DE_359597,,jUb8gELQApl,Kailahun,OU_204856,,8392,3820,8126,7338
cYeuwXTCPkU,ANC 2nd visit,DE_359597,,PMa2VCrupOd,Kambia,OU_211212,,6653,3277,6598,6431
cYeuwXTCPkU,ANC 2nd visit,DE_359597,,kJq2mPyFEHo,Kenema,OU_222616,,15154,7456,15142,14324
cYeuwXTCPkU,ANC 2nd visit,DE_359597,,qhqAxPSTUXp,Koinadugu,OU_226213,,4241,970,4303,3053
cYeuwXTCPkU,ANC 2nd visit,DE_359597,,Vth0fbpFcsO,Kono,OU_233310,,5175,1091,5290,3973
cYeuwXTCPkU,ANC 2nd visit,DE_359597,,jmIPBj66vD6,Moyamba,OU_246990,,7529,3302,7501,6990
cYeuwXTCPkU,ANC 2nd visit,DE_359597,,TEQlaapDQoK,Port Loko,OU_254945,,11001,3406,10940,7627
cYeuwXTCPkU,ANC 2nd visit,DE_359597,,bL4ooGhyHRQ,Pujehun,OU_260377,,6329,33,6119,2670
cYeuwXTCPkU,ANC 2nd visit,DE_359597,,eIQbndfxQMb,Tonkolili,OU_268149,,9357,5101,9190,8690
cYeuwXTCPkU,ANC 2nd visit,DE_359597,,at6UHUQatSo,Western Area,OU_278310,,24831,11104,24299,20117
Jtf34kNZhzP,ANC 3rd visit,DE_359598,,O6uvpzGd5pu,Bo,OU_264,,10385,6978,10314,11568
Jtf34kNZhzP,ANC 3rd visit,DE_359598,,fdc6uOvgoji,Bombali,OU_193190,,6048,1859,6076,4510
Jtf34kNZhzP,ANC 3rd visit,DE_359598,,lc3eMKXaEfw,Bonthe,OU_197385,,2848,554,2753,1601
Jtf34kNZhzP,ANC 3rd visit,DE_359598,,jUb8gELQApl,Kailahun,OU_204856,,6994,3311,6775,6181
Jtf34kNZhzP,ANC 3rd visit,DE_359598,,PMa2VCrupOd,Kambia,OU_211212,,4656,2257,4620,4418
Jtf34kNZhzP,ANC 3rd visit,DE_359598,,kJq2mPyFEHo,Kenema,OU_222616,,11846,5521,11891,10532
Jtf34kNZhzP,ANC 3rd visit,DE_359598,,qhqAxPSTUXp,Koinadugu,OU_226213,,3220,686,3197,2039
Jtf34kNZhzP,ANC 3rd visit,DE_359598,,Vth0fbpFcsO,Kono,OU_233310,,3866,691,3993,2612
Jtf34kNZhzP,ANC 3rd visit,DE_359598,,jmIPBj66vD6,Moyamba,OU_246990,,6630,2830,6547,5990
Jtf34kNZhzP,ANC 3rd visit,DE_359598,,TEQlaapDQoK,Port Loko,OU_254945,,6815,2159,6619,4607
Jtf34kNZhzP,ANC 3rd visit,DE_359598,,bL4ooGhyHRQ,Pujehun,OU_260377,,4838,22,4642,2018
Jtf34kNZhzP,ANC 3rd visit,DE_359598,,eIQbndfxQMb,Tonkolili,OU_268149,,5418,3013,5449,5171
Jtf34kNZhzP,ANC 3rd visit,DE_359598,,at6UHUQatSo,Western Area,OU_278310,,16657,7181,15798,12624
hfdmMSPBgLG,ANC 4th or more visits,DE_359599,,O6uvpzGd5pu,Bo,OU_264,,6953,3667,6045,6451
hfdmMSPBgLG,ANC 4th or more visits,DE_359599,,fdc6uOvgoji,Bombali,OU_193190,,3410,902,3376,2698
hfdmMSPBgLG,ANC 4th or more visits,DE_359599,,lc3eMKXaEfw,Bonthe,OU_197385,,1774,406,1780,916
hfdmMSPBgLG,ANC 4th or more visits,DE_359599,,jUb8gELQApl,Kailahun,OU_204856,,4681,2103,4521,3554
hfdmMSPBgLG,ANC 4th or more visits,DE_359599,,PMa2VCrupOd,Kambia,OU_211212,,2324,1166,2308,2182
hfdmMSPBgLG,ANC 4th or more visits,DE_359599,,kJq2mPyFEHo,Kenema,OU_222616,,7441,3663,7371,6653
hfdmMSPBgLG,ANC 4th or more visits,DE_359599,,qhqAxPSTUXp,Koinadugu,OU_226213,,2379,540,2326,1431
hfdmMSPBgLG,ANC 4th or more visits,DE_359599,,Vth0fbpFcsO,Kono,OU_233310,,2091,250,2036,755
hfdmMSPBgLG,ANC 4th or more visits,DE_359599,,jmIPBj66vD6,Moyamba,OU_246990,,5553,2588,5459,4756
